token	freq	candidates	local_verdict	local_value	sonnet_verdict	sonnet_value	agree
lambra	1591	lambda	KEEP	lambra	NAME	Alhambra	N
cight	1576	right,eight	FIX	eight	FIX	eight	Y
pubhe	746	dubhe	GARBAGE		FIX	public	N
cence	738	fence,cense	FIX	fence	FIX	cense	Y
erty	687	ert,arty	GARBAGE		FIX	erty	N
cuar	669	car,char	FIX	car	FIX	car	Y
superin	464	suberin	GARBAGE		FIX	superintendent	N
anvear	430	anear	GARBAGE		FIX	appear	N
ereated	420	created,treated	FIX	created	FIX	created	Y
ducheny	414	duchy,duchess	NAME	Ducheny	NAME	Ducheny	Y
appheation	410		GARBAGE		FIX	application	N
karnette	397	barnett,annette	NAME	Karnette	NAME	Karnette	Y
escutia	389	scotia,escurial	NAME	Scotia	NAME	Escutia	Y
xiiib	387		GARBAGE		KEEP	xiiib	N
pensation	346	sensation	FIX	pensation	FIX	compensation	Y
margett	340	margent	NAME	Margett	NAME	Margett	Y
aroner	327	atoner,ironer	GARBAGE		NAME	Aroner	N
schoolage	318	schoolbag,schoolbags	FIX	schoolage	FIX	school-age	Y
frusetta	306	frusta,rosetta	NAME	Frusetta	NAME	Frusetta	Y
sliag	293	sling,slag	FIX	slag	GARBAGE		N
migden	287	midden,milden	GARBAGE		NAME	Migden	N
froin	279	groin,frown	GARBAGE		FIX	from	N
rmpp	267	repp	GARBAGE		GARBAGE		Y
canse	263	case,cause	FIX	case	FIX	cause	Y
cwil	262	ceil,coil	KEEP	cwil	FIX	civil	N
cmsp	256	cusp	FIX	cusp	GARBAGE		N
nonsex	255	none,noise	GARBAGE		GARBAGE		Y
poochigian	238		NAME	Poochigian	NAME	Poochigian	Y
kaloogian	238		NAME	Kaloogian	NAME	Kaloogian	Y
newsection	228	resection	FIX	resection	FIX	new section	Y
cahforma	222		FIX	california	FIX	california	Y
creck	221	check,creek	FIX	creek	FIX	creek	Y
ceedings	220	feedings	FIX	proceedings	FIX	proceedings	Y
priation	210	privation	FIX	privation	FIX	appropriation	Y
ceee	205	cere,cree	GARBAGE		GARBAGE		Y
earrier	204	carrier,earlier	FIX	carrier	FIX	carrier	Y
mterest	203	merest	FIX	merest	FIX	interest	Y
onequarter	202	forequarter	FIX	forequarter	FIX	one-quarter	Y
weggeland	202		NAME	Weggeland	NAME	Weggeland	Y
tioned	200	tined,toned	FIX	toned	FIX	tioned	Y
frorn	199	frown,frore	GARBAGE		FIX	from	N
eenter	197	center,enter	FIX	center	FIX	center	Y
clets	193	cleats,lets	FIX	clets	FIX	cleats	Y
eent	192	event,cent	FIX	event	FIX	cent	Y
subitems	192	suites	FIX	subitems	KEEP	subitems	N
diserction	191	discretion,direction	FIX	discretion	FIX	discretion	Y
remanufacturer	191	remanufacture	FIX	remanufacture	KEEP	remanufacturer	N
quired	190	quire,quires	GARBAGE		FIX	required	N
ceeee	187	cease,creek	GARBAGE		GARBAGE		Y
shaj	183	shad,shaw	FIX	shad	FIX	shall	Y
ttem	183	item,them	FIX	item	FIX	item	Y
sonth	179	month,south	FIX	south	FIX	month	Y
ptember	178	member,september	FIX	september	FIX	september	Y
thereo	176	thereof,there	FIX	thereof	FIX	thereof	Y
housecar	176	horsecar,housecarl	NAME	housecarl	KEEP	housecar	N
eeeeeeeee	174		GARBAGE		GARBAGE		Y
nonphysician	170	nonphysical	KEEP	nonphysician	KEEP	nonphysician	Y
retary	169	rotary,retard	FIX	retary	FIX	secretary	Y
legisla	168	legible,legibly	FIX	legisla	FIX	legislature	Y
ercated	166	enacted,located	FIX	enacted	FIX	enacted	Y
bioanalyst	162	biocatalyst	KEEP	bioanalyst	KEEP	bioanalyst	Y
gation	155	nation,cation	FIX	gation	FIX	igation	Y
followmg	155	following,follows	FIX	following	FIX	following	Y
elock	154	block,clock	FIX	block	FIX	clock	Y
whon	154	who,when	FIX	who	FIX	who	Y
omeers	154	ameers	NAME	omeers	FIX	officers	N
ceeeeee	153		GARBAGE		GARBAGE		Y
zation	151	nation,cation	FIX	zation	FIX	ization	Y
enene	149	event,nine	FIX	enene	GARBAGE		N
repressuring	145	pressuring,repressing	FIX	pressuring	FIX	repressuring	Y
reregisters	145	preregisters	FIX	reregisters	KEEP	reregisters	N
reflectorized	140		GARBAGE		KEEP	reflectorized	N
porated	139	prorated,ported	FIX	porated	FIX	incorporated	Y
hmited	139	united,limited	FIX	limited	FIX	limited	Y
lje	138	le,lie	FIX	lje	FIX	the	Y
strued	136	trued	FIX	strued	FIX	construed	Y
certam	136	ceram	GARBAGE		FIX	certain	N
indorser	134	indorsed,indorse	FIX	indorser	KEEP	indorser	N
norpseudoephedrine	132		GARBAGE		KEEP	norpseudoephedrine	N
pubheation	131		GARBAGE		FIX	publication	N
