token	freq	corrected	tier	sonnet_verdict	gemma_verdict
lambra	1591	Alhambra	SONNET_NAME	NAME	KEEP
cight	1576	eight	AUTO_SAFE	FIX	FIX
pubhe	746	public	SONNET_FIX	FIX	GARBAGE
cence	738	cense	SONNET_FIX	FIX	FIX
erty	687		KEEP	FIX	GARBAGE
cuar	669	car	AUTO_SAFE	FIX	FIX
superin	464	superintendent	SONNET_FIX	FIX	GARBAGE
anvear	430	appear	SONNET_FIX	FIX	GARBAGE
ereated	420	created	AUTO_SAFE	FIX	FIX
ducheny	414	Ducheny	SONNET_NAME	NAME	NAME
appheation	410	application	SONNET_FIX	FIX	GARBAGE
karnette	397	Karnette	SONNET_NAME	NAME	NAME
escutia	389	Escutia	SONNET_NAME	NAME	NAME
xiiib	387		KEEP	KEEP	GARBAGE
pensation	346	compensation	SONNET_FIX	FIX	FIX
margett	340	Margett	SONNET_NAME	NAME	NAME
aroner	327	Aroner	SONNET_NAME	NAME	GARBAGE
schoolage	318	school-age	SONNET_FIX	FIX	FIX
frusetta	306	Frusetta	SONNET_NAME	NAME	NAME
sliag	293		GARBAGE_FLAG	GARBAGE	FIX
migden	287	Migden	SONNET_NAME	NAME	GARBAGE
froin	279	from	SONNET_FIX	FIX	GARBAGE
rmpp	267		GARBAGE_FLAG	GARBAGE	GARBAGE
canse	263	cause	SONNET_FIX	FIX	FIX
cwil	262	civil	SONNET_FIX	FIX	KEEP
cmsp	256		GARBAGE_FLAG	GARBAGE	FIX
nonsex	255		GARBAGE_FLAG	GARBAGE	GARBAGE
kaloogian	238	Kaloogian	SONNET_NAME	NAME	NAME
poochigian	238	Poochigian	SONNET_NAME	NAME	NAME
newsection	228	new section	SONNET_FIX	FIX	FIX
cahforma	222	california	AUTO_SAFE	FIX	FIX
creck	221	creek	AUTO_SAFE	FIX	FIX
ceedings	220	proceedings	AUTO_SAFE	FIX	FIX
priation	210	appropriation	SONNET_FIX	FIX	FIX
ceee	205		GARBAGE_FLAG	GARBAGE	GARBAGE
earrier	204	carrier	AUTO_SAFE	FIX	FIX
mterest	203	interest	SONNET_FIX	FIX	FIX
onequarter	202	one-quarter	SONNET_FIX	FIX	FIX
weggeland	202	Weggeland	SONNET_NAME	NAME	NAME
tioned	200		KEEP	FIX	FIX
frorn	199	from	SONNET_FIX	FIX	GARBAGE
