vol	pk	idx	token	fix
production-1861	4	4.11	teeerees	referees
production-1861	4	11.5	inmits	limits
production-1861	5	49.8	ereeeree	referee
production-1861	6	25.12	coeeree	covered
production-1861	7	26.9	scpate	senate
production-1861	8	17.0	debtedness	indebtedness
production-1861	8	17.1	seeruing	accruing
production-1861	10	0.0	ubap	chap
production-1861	11	2.4	swainp	swamp
production-1861	11	28.5	rodvos	rodeos
production-1861	12	45.5	dctine	define
production-1861	13	4.9	ccreres	referees
production-1861	13	40.4	raffics	traffics
production-1861	15	45.10	rereerenced	referenced
production-1861	16	14.2	exccutrix	executrix
production-1861	16	29.0	bibgl	bill
production-1861	16	33.11	ainenda	amenda
production-1861	17	20.4	cceee	NONE
production-1861	22	47.1	fftv	fifty
production-1861	25	26.8	mellus	mellus
production-1861	25	37.4	buterfield	butterfield
production-1861	25	37.8	buterfield	butterfield
production-1861	26	5.11	therco	thereof
production-1861	28	42.9	eveees	NONE
production-1861	29	11.11	cerseveres	NONE
production-1861	29	25.4	expunzing	expunging
production-1861	30	9.0	foviid	forbid
production-1861	30	27.10	eeccee	NONE
production-1861	34	23.12	coiomb	coloma
production-1861	34	23.15	evecare	NONE
production-1861	34	24.6	fpamish	spanish
production-1861	34	28.15	dodota	dakota
production-1861	34	31.4	dotago	dotage
production-1861	35	7.7	mariposr	mariposa
production-1861	35	9.11	ducecy	NONE
production-1861	35	10.6	adycies	NONE
production-1861	35	15.13	auduid	audit
production-1861	35	17.1	bnitte	butte
production-1861	35	20.16	vacys	NONE
production-1861	35	30.5	fraucisc	francisc
production-1861	35	31.2	souquid	NONE
production-1861	35	32.15	aoan	NONE
production-1861	35	33.12	muppdy	supply
production-1861	35	34.5	dumdo	NONE
production-1861	35	46.10	ererere	NONE
production-1861	35	48.6	novoud	NONE
production-1861	35	52.0	btod	NONE
production-1861	35	53.4	mardposa	mariposa
production-1861	35	56.7	colomd	coloma
production-1861	35	58.12	ofovine	NONE
production-1861	35	63.2	pimcop	NONE
production-1861	35	63.10	ererer	NONE
production-1861	35	64.5	piacep	NONE
production-1861	36	2.13	diczo	diego
production-1861	36	4.0	laspeyre	lapeyre
production-1861	36	4.9	slockeon	stockton
production-1861	36	5.15	ereree	NONE
production-1861	36	6.11	adycies	NONE
production-1861	36	8.5	pimcot	NONE
production-1861	36	13.11	alqimo	NONE
production-1861	36	17.9	ondta	NONE
production-1861	36	22.15	sccicl	social
production-1861	36	25.6	buelg	buell
production-1861	36	25.15	omico	NONE
production-1861	36	27.14	umbuy	NONE
production-1861	38	10.1	whittery	whittier
production-1861	38	13.6	elecee	electee
production-1861	39	2.0	aeae	NONE
production-1861	39	7.0	margareau	margaret
production-1861	39	30.0	curricr	currier
production-1861	39	37.10	cceee	NONE
production-1861	39	41.4	bostom	boston
production-1861	39	57.2	jodd	dodd
production-1861	40	7.6	sssere	NONE
production-1861	40	26.2	hamotte	lamotte
production-1861	40	32.1	lnettleton	nettleton
production-1861	40	34.2	zepaniah	zephaniah
production-1861	40	57.1	carrinton	carrington
production-1861	41	9.0	sowman	bowman
production-1861	41	10.1	thurbur	thurber
production-1861	41	12.1	sumnel	sumner
production-1861	41	17.0	memillan	mcmillan
production-1861	41	26.3	brookisn	brookins
production-1861	41	27.0	selding	belding
production-1861	41	29.0	thorneil	thornell
production-1861	41	29.1	thoinns	thomas
production-1861	41	31.0	otilo	odilo
production-1861	41	35.0	meguity	mcguity
production-1861	41	40.0	brownner	browner
production-1861	41	43.1	edinund	edmund
production-1861	41	45.3	pbiadelphia	philadelphia
production-1861	41	47.6	eereee	NONE
production-1861	41	51.0	wistra	NONE
production-1861	41	51.4	veneee	NONE
production-1861	41	55.0	mecren	mehren
production-1861	41	56.5	madelphi	adelphi
production-1861	41	60.1	theadored	theodore
production-1861	41	63.1	wingnte	wingate
production-1861	41	63.5	ppovidonce	providence
production-1861	41	63.6	wiceee	NONE
production-1861	41	65.3	eeereee	NONE
production-1861	41	65.4	nowporb	newport
production-1861	41	65.9	imby	imby
production-1861	42	2.7	pmay	may
production-1861	42	8.0	danmary	january
production-1861	42	13.4	jgalveston	galveston
production-1861	42	16.4	suigon	saigon
production-1861	42	21.1	selding	belding
production-1861	42	35.6	elenee	NONE
production-1861	42	37.1	gricr	grier
production-1861	42	45.1	sauire	squire
production-1861	43	10.12	adih	NONE
production-1861	43	18.0	mahew	mayhew
production-1861	43	20.0	choomaker	schoomaker
production-1861	43	20.2	ausoto	austin
production-1861	43	25.0	wadaworth	wadsworth
production-1861	43	35.3	gunymas	guaymas
production-1861	44	21.11	xxpiratior	expiration
production-1861	50	33.11	settlomen	settlement
production-1861	50	34.11	ortime	or time
production-1861	51	2.10	actrare	act are
production-1861	52	12.0	cuapr	chap
production-1861	54	14.10	gremption	exemption
production-1861	58	1.10	secount	account
production-1861	58	22.0	cuav	chap
production-1861	62	10.3	jobn	john
production-1861	63	36.0	srorron	section
production-1861	65	42.0	sasurer	treasurer
production-1861	66	44.0	porvisors	supervisors
production-1861	67	39.0	ohaap	chap
production-1861	68	33.10	essurer	assurer
production-1861	69	6.0	smption	exemption
production-1861	69	32.0	tedness	indebtedness
production-1861	69	41.0	nunty	county
production-1861	70	38.10	gyanster	ganster
production-1861	71	35.0	cuav	chap
production-1861	72	38.0	sxorton	section
production-1861	74	19.0	cuav	chap
production-1861	75	9.0	ayeake	awake
production-1861	78	30.11	estden	ested
production-1861	78	40.11	aitiey	after
production-1861	82	18.11	toeell	towell
production-1861	86	30.0	eliec	elect
production-1861	88	32.11	mecti	meeting
production-1861	91	23.2	scosry	NONE
production-1861	91	30.1	szorion	section
production-1861	92	32.9	acquiltances	acquittances
production-1861	96	31.10	gonaitions	conditions
production-1861	98	22.11	bureties	sureties
production-1861	101	45.0	boicn	NONE
production-1861	103	33.0	poelal	penal
production-1861	104	29.9	commissrs	commissioners
production-1861	105	39.8	exccu	execute
production-1861	106	26.11	grandehil	grandchild
production-1861	107	2.0	onap	chap
production-1861	107	14.0	fesend	resend
production-1861	107	36.0	ouap	chap
production-1861	107	42.0	omcers	officers
production-1861	110	6.10	pysies	NONE
production-1861	111	4.0	goardof	board of
production-1861	111	5.0	siners	miners
production-1861	112	42.11	goua	NONE
production-1861	113	32.0	wnner	owner
production-1861	116	41.9	panamarks	landmarks
production-1861	117	9.0	voyor	surveyor
production-1861	120	16.4	quittances	quittances
production-1861	120	29.10	wyop	NONE
production-1861	121	20.0	bqualization	equalization
production-1861	122	14.13	vharhge	wharfage
production-1861	122	20.14	nchis	NONE
production-1861	124	16.11	eanaliza	equalization
production-1861	124	38.0	sgorion	section
production-1861	127	13.0	cuarv	chap
production-1861	129	13.0	onap	chap
production-1861	131	3.0	forusng	forusing
production-1861	131	33.0	ppropria	appropriation
production-1861	131	36.1	thesum	the sum
production-1861	131	42.1	takko	NONE
production-1861	132	19.11	unaually	annually
production-1861	132	34.10	prepria	propria
production-1861	133	11.0	seorron	section
production-1861	133	34.0	szorton	section
production-1861	134	11.10	opria	appropriation
production-1861	135	42.0	tobecome	become
production-1861	136	41.10	dutnet	duties
production-1861	137	21.0	cuav	chap
production-1861	138	15.9	reneed	renewed
production-1861	141	9.10	pubhe	public
production-1861	151	20.0	ofconstables	of constables
production-1861	156	14.10	ofncer	officer
production-1861	156	23.11	potio	portion
production-1861	156	24.11	fned	fined
production-1861	158	17.10	punaing	punishing
production-1861	161	1.0	cuav	chap
production-1861	162	28.11	preaaings	pleadings
production-1861	162	33.10	peainquent	delinquent
production-1861	164	17.12	tessrer	treasurer
production-1861	164	45.10	fromand	from and
production-1861	168	25.10	preambia	preamble
production-1861	169	2.0	purtenances	appurtenances
production-1861	170	48.13	puaties	duties
production-1861	173	37.0	refor	recorder
production-1861	174	43.11	surpine	surplus
production-1861	179	16.0	expendedin	expended in
production-1861	182	2.11	subserip	subscription
production-1861	182	32.10	siguatare	signature
production-1861	185	25.7	tojames	james
production-1861	186	43.12	fumaia	fumaria
production-1861	189	11.0	eramento	sacramento
production-1861	191	6.0	cuapv	chap
production-1861	191	12.0	kekay	dekay
production-1861	193	17.0	fariano	mariano
production-1861	194	17.0	cuapr	chap
production-1861	194	23.10	ofices	offices
production-1861	196	15.9	pphcable	applicable
production-1861	197	11.1	gneh	enact
production-1861	202	8.10	imerested	interested
production-1861	203	2.0	cnap	chap
production-1861	206	21.11	obstruc	obstruct
production-1861	206	39.12	dispontion	disposition
production-1861	210	20.10	ginim	minim
production-1861	216	28.4	untilit	until it
production-1861	217	50.0	wheto	where
production-1861	218	30.11	hlowed	allowed
production-1861	221	6.0	cuav	chap
production-1861	221	16.0	omcera	officers
production-1861	224	3.3	otek	NONE
production-1861	226	6.11	sicnora	signatories
production-1861	226	21.0	ervicos	services
production-1861	226	32.0	srorion	section
production-1861	227	21.0	ratoor	NONE
production-1861	227	24.2	brokcraye	brokerage
production-1861	228	41.10	pepoating	repeating
production-1861	229	0.0	onap	chap
production-1861	229	0.1	caciy	NONE
production-1861	229	7.0	tosell	to sell
production-1861	230	5.0	ssorron	section
production-1861	231	51.0	itting	sitting
production-1861	233	20.0	cuav	chap
production-1861	236	5.0	srorron	section
production-1861	238	13.11	costrue	construe
production-1861	239	25.0	opiking	spiking
production-1861	240	33.2	foundrymen	foundrymen
production-1861	243	42.0	apong	among
production-1861	248	0.0	cunap	chap
production-1861	249	6.3	clacted	enacted
production-1861	249	7.0	payand	NONE
production-1861	255	7.1	szorion	section
production-1861	256	16.9	gotaries	notaries
production-1861	256	23.0	cuapv	chap
production-1861	256	23.1	coxiti	NONE
production-1861	256	29.9	siven	given
production-1861	259	15.0	cuav	chap
production-1861	259	21.0	kegalized	legalized
production-1861	259	33.0	atomey	attorney
production-1861	260	15.12	vecou	NONE
production-1861	262	31.0	linguished	relinquished
production-1861	264	39.8	daylor	taylor
production-1861	267	16.6	booram	boram
production-1861	267	37.0	pellast	pelast
production-1861	268	6.10	jsaue	issue
production-1861	268	27.0	charv	chap
production-1861	269	14.0	shtecn	sixteen
production-1861	272	3.13	siretsr	NONE
production-1861	272	24.11	rottery	lottery
production-1861	274	21.10	icstion	section
production-1861	274	32.12	gecona	second
production-1861	274	42.11	forfeitare	forfeiture
production-1861	276	9.0	scerron	section
production-1861	276	17.0	cuarp	chap
production-1861	277	6.4	wagy	NONE
production-1861	278	0.0	jjare	NONE
production-1861	279	49.0	batary	salary
production-1861	280	5.12	telunne	tuolumne
production-1861	281	25.0	onar	chap
production-1861	281	31.0	seorron	section
production-1861	281	36.6	bewel	bewell
production-1861	281	43.3	bewel	bewell
