[2026-06-01 10:00 PT] STEP-0 | Starting Method A re-spike: feasibility / source assessment | OK
[2026-06-01 10:01 PT] STEP-0 | Scratch dir inventoried: 1873-74 and 1875-76 Chief Clerk PDFs present (image-only, no embedded text); 7 DJVU annotated-code txt files (NOT session-law); ia_scans/ has 3 PDFs (also image-only or sparse text) | OK
[2026-06-01 10:02 PT] STEP-0 | Chief Clerk 1873-74 PDF: 1086 pages, 54.6 MB, image-only (0 chars embedded text). Chief Clerk 1875-76 PDF: 35.7 MB, 0 pages (corrupt/empty fitz read). Neither has embedded text -- OCR required | WARN
[2026-06-01 10:03 PT] STEP-0 | Python 3.12 confirmed: fitz, pytesseract, PIL, cv2, numpy available. Tesseract 5.4.0 at C:\Users\PatrickKolasinski\AppData\Local\Tesseract-OCR\tesseract.exe | OK
[2026-06-01 10:15 PT] STEP-0 | KEY FINDING: IA has clean Tesseract-5.3 OCR text for 1873-74, 1875-76, 1877-78 biennial statutes (3 downloads, ~3MB each). BUT these biennial statutes volumes DO NOT contain PC amendment text -- they say '[See volume of Amendments to the Codes]' (e.g., Chapter DCXIV = 614 in 1873-74 statutes). PC amendments were in a SEPARATE 'Amendments to the Codes' volume | WARN
[2026-06-01 10:20 PT] STEP-0 | KEY FINDING: IA has 'amendmentstocod01caligoog' for 1873-74 Amendments to Codes -- but it is GOOGLE-SCANNED (ABBYY OCR), and it is the DESTY ANNOTATED EDITION (prints amended section text with marginal notes), NOT the raw session-law chapter text. This is same class of source as Method B annotation editions. | WARN
[2026-06-01 10:25 PT] STEP-0 | BEST AVAILABLE SOURCE for raw session-law amendments: 'statutescalifor00caligoog' (Google/ABBYY OCR) = 1883 25th session combined statutes + amendments to codes. Contains explicit PC amendment acts (secs 299-301 repeal, 626 amend, 627-629 repeal, 631/632/634/636 amend, 1388 add). This is the trial slice. | OK
[2026-06-01 10:30 PT] STEP-0 | CRITICAL FEASIBILITY FINDING: For 1873-1881 era, clean (non-Google) IA sources do NOT contain raw Penal Code amendment directives. Session-law statutes volumes omit them (refer to separate Amendments volume). The Amendments volumes that exist on IA for this era are Desty annotated editions (Google-scanned), not raw chapter text. Clean Chief Clerk PDFs are image-only requiring OCR. | WARN
[2026-06-01 10:35 PT] STEP-1-4 | Method A pipeline executed on 1883 slice: 720 baseline sections loaded, 12 directives parsed, 9 applied (3 skipped: 627/628/629 not in 1872 baseline = sections added and repealed in same session), validated against pc_extract_1883.json (596 GT sections) | OK
[2026-06-01 10:40 PT] STEP-3 | Directive parser hand-check: ALL 12 1883 PC directives verified by manual reading. Precision=12/12=100%, Recall=12/12=100%. Directive types (amend/repeal/add) and section numbers all correctly identified. OCR artifacts: page headers interspersed, '834' OCR'd for '634', marginal notes embedded in body text. | WARN
[2026-06-01 10:45 PT] STEP-5 | Validation results: 3/5 MATCH (repeal secs 299/300/301), 1/5 NEAR (sec 1388 add, CER~0.08 after removing OCR artifacts), 1/5 MISMATCH (sec 634 amend: OCR '634'->'834' in source + GT section numbering collision). 4 sections NO_GT (626/631/632/636: game/fish sections not in any Desty annotated edition). | OK
[2026-06-01 10:50 PT] STEP-5 | MISMATCH TAXONOMY: (1) OCR noise only = sec 1388 (substantive text matches, CER from marginal notes in scan); (2) OCR digit error = sec 634 ('634' misread as '834' in source, blocked text extraction); (3) GT gap = 4 sections (game/fish added 1883, absent from all Desty annotated editions); (0) Ordering errors; (0) Real divergences | OK
[2026-06-01 11:00 PT] SPIKE-COMPLETE | Method A verdict: QUALIFIED-GO. Pipeline works end-to-end for 1883 slice. Directive parsing 100% precision/recall. Main blocker for pre-1883 era: session-law volumes omit PC amendments (refer to separate volume); Amendments volumes on IA are Google-scanned Desty annotated editions, not raw chapter text. Clean Chief Clerk PDFs are available but image-only -- will need Tesseract OCR pass. | OK
